MMMM_YY,Employee_ID,Age,Gender,City,Education_Level,Department,Income,Date_Of_Joining,LastWorkingDate,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Overtime_Flag,Attrition,Tenure_Months,Age_At_Joining,Rating_Increased,Income_Increased,Grade_Change,Overtime_Ratio,Age_scaled,Income_scaled,Tenure_Months_scaled,Total_Business_Value_scaled
01-01-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,11806,2,0,1,29,26.58333333,0,0,0,0.133333333,-1.002294632,0.511238718,0.156344185,-0.922359904
01-02-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,16644,1,0,1,30,26.5,0,0,0,0.129032258,-1.002294632,0.511238718,0.228210684,-0.844770029
01-03-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,26253,3,1,1,31,26.41666667,1,0,0,0.125,-1.002294632,0.511238718,0.300077182,-0.690664798
01-04-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,-12414,1,1,1,32,26.33333333,0,0,0,0.121212121,-1.002294632,0.511238718,0.371943681,-1.310790405
01-05-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,39153,2,0,1,33,26.25,1,0,0,0.117647059,-1.002294632,0.511238718,0.443810179,-0.483779849
01-06-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,20005,1,1,1,34,26.16666667,0,0,0,0.114285714,-1.002294632,0.511238718,0.515676678,-0.790867679
01-07-2021,10001,29,0,BLR,1,Operations,64380,17-08-2018,21-08-2021,Analyst,3,57766,2,1,1,35,26.08333333,1,0,0,0.111111111,-1.002294632,0.511238718,0.587543176,-0.185272131
01-08-2021,10001,29,0,BLR,1,Operations,55703.72842,17-08-2018,21-08-2021,Analyst,3,37659,2,0,1,36,26,0,0,0,0.108108108,-1.002294632,-0.015944375,0.659409674,-0.507740013
01-01-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,-12611,2,0,0,35,39.08333333,0,0,0,0.277777778,0.330458466,0.6469191,0.587543176,-1.313949811
01-02-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,34307,3,0,0,36,39,1,0,0,0.27027027,0.330458466,0.6469191,0.659409674,-0.561498024
